feature,manual_decision_status,final_encoding_decision,final_missing_handling_decision,final_validation_decision,manual_risk_level,manual_check_needed,manual_check_reason,drop_now,next_stage_use
cc_limit_change_flag_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_limit_change_flag_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_missing_credit_limit_count_max,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_missing_credit_limit_count_mean,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_missing_credit_limit_count_sum,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_approved_count_max,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_approved_count_mean,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_approved_count_sum,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_canceled_count_max,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_canceled_count_mean,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_canceled_count_sum,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_canceled_ratio_max,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_canceled_ratio_mean,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_canceled_ratio_min,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_refused_count_max,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_refused_count_mean,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_refused_count_sum,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_sent_proposal_count_max,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_status_sent_proposal_count_sum,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
has_bureau_history,source_corrected_and_route_refined,keep_as_binary_history_availability_indicator,no_missing_handling_needed,standard_binary_validation_later,low,no,source_corrected_to_history_availability_indicator,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
has_credit_card_history,source_corrected_and_route_refined,keep_as_binary_history_availability_indicator,no_missing_handling_needed,train_test_stability_validation,medium,yes,source_corrected_to_history_availability_indicator; visible_train_test_binary_shift,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
has_installment_history,source_corrected_and_route_refined,keep_as_binary_history_availability_indicator,no_missing_handling_needed,standard_binary_validation_later,low,no,source_corrected_to_history_availability_indicator,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
has_pos_cash_history,source_corrected_and_route_refined,keep_as_binary_history_availability_indicator,no_missing_handling_needed,standard_binary_validation_later,low,no,source_corrected_to_history_availability_indicator,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
has_previous_application_history,source_corrected_and_route_refined,keep_as_binary_history_availability_indicator,no_missing_handling_needed,standard_binary_validation_later,low,no,source_corrected_to_history_availability_indicator,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_contract_with_due_day_shift_count,source_corrected_and_risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_has_due_day_shift_count_max,source_corrected_and_risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_has_due_day_shift_count_sum,source_corrected_and_risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_amount_shift_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_due_day_shift_flag,source_corrected_and_risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_fully_paid_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_fully_paid_flag_max,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_fully_paid_flag_min,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_15plus_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_30plus_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_30plus_flag_max,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_30plus_flag_min,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_5plus_flag,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_60plus_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_90plus_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_flag,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_flag_max,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_late_flag_min,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_multiple_payment_flag,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_multiple_payment_flag_max,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_multiple_payment_flag_min,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_overpaid_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_overpaid_flag_max,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_overpaid_flag_min,source_corrected_and_risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_underpaid_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_underpaid_flag_max,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_underpaid_flag_min,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_version_change_flag,source_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_version_change_flag_max,source_corrected_and_manual_check_reason_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
inst_latest_version_change_flag_min,source_corrected_and_risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,source_corrected_to_installment_history; missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_instalment_change_flag_max,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_instalment_change_flag_min,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_completed_by_future_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_dpd_30plus_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_dpd_60plus_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_dpd_90plus_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_has_dpd,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_has_dpd_def,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_has_future_installment_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_near_completion_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_active_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_amortized_debt_flag,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_approved_flag,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_canceled_flag,risk_corrected_and_route_refined,single_observed_value_validate_later_not_primary_signal,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,single_observed_value_validation_later | near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,high,yes,missing_is_structured_history_absence_or_unknown; single_observed_value_no_standalone_variation; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_completed_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_demand_flag,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
pos_latest_status_returned_flag,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
